_id,afluencia,año,fecha,mes,meterId,source,vehiculos,vel_circulacion,vel_media
1_2024-01-01,4,2024,2024-01-01,1,1,1,7930,0,99.14583333333333
1_2024-01-02,4,2024,2024-01-02,1,1,1,11950,0,93.66666666666667
1_2024-01-03,0,2024,2024-01-03,1,1,1,12908,0,91.85416666666667
1_2024-01-04,4,2024,2024-01-04,1,1,1,10792,0,90.91666666666667
1_2024-01-05,4,2024,2024-01-05,1,1,1,11180,0,85.85416666666667
1_2024-01-06,4,2024,2024-01-06,1,1,1,10566,0,91.02083333333333
1_2024-01-07,4,2024,2024-01-07,1,1,1,12206,0,94.0625
1_2024-01-08,0,2024,2024-01-08,1,1,1,13356,0,88.83333333333333
1_2024-01-09,0,2024,2024-01-09,1,1,1,13738,0,90.70833333333333
1_2024-01-10,0,2024,2024-01-10,1,1,1,17706,0,88.53846153846153
1_2024-01-11,0,2024,2024-01-11,1,1,1,16106,0,90.12962962962963
1_2024-01-12,3,2024,2024-01-12,1,1,1,29274,0,90.24691358024691
1_2024-01-13,0,2024,2024-01-13,1,1,1,20161,0,92.80898876404494
1_2024-01-14,4,2024,2024-01-14,1,1,1,11758,0,97.10416666666667
1_2024-01-15,0,2024,2024-01-15,1,1,1,13816,0,88.89583333333333
1_2024-01-16,4,2024,2024-01-16,1,1,1,9846,0,88.625
1_2024-01-17,0,2024,2024-01-17,1,1,1,15406,0,89.14583333333333
1_2024-01-18,0,2024,2024-01-18,1,1,1,14607,0,87.18947368421053
1_2024-01-19,4,2024,2024-01-19,1,1,1,8002,3,83.77319587628865
1_2024-01-20,2,2024,2024-01-20,1,1,1,3488,0,86.47222222222223
1_2024-01-21,4,2024,2024-01-21,1,1,1,8962,0,96.80851063829788
1_2024-01-22,2,2024,2024-01-22,1,1,1,2634,3,70.47826086956522
1_2024-01-23,2,2024,2024-01-23,1,1,1,1604,3,70.35714285714286
1_2024-01-24,2,2024,2024-01-24,1,1,1,3504,3,76.6923076923077
1_2024-01-25,2,2024,2024-01-25,1,1,1,3582,3,82.09677419354838
1_2024-01-26,2,2024,2024-01-26,1,1,1,214,3,72.44444444444444
1_2024-01-27,4,2024,2024-01-27,1,1,1,6382,0,86.5909090909091
1_2024-01-28,4,2024,2024-01-28,1,1,1,5542,0,91.1063829787234
1_2024-01-29,4,2024,2024-01-29,1,1,1,5580,3,77.83783783783784
1_2024-01-30,2,2024,2024-01-30,1,1,1,490,3,73
1_2024-01-31,4,2024,2024-01-31,1,1,1,9558,0,88.93548387096774
1_2024-02-01,2,2024,2024-02-01,1,1,1,672,3,79
1_2024-02-02,2,2024,2024-02-02,1,1,1,58,3,56.888888888888886
