_id,cause,cityTown,incidenceType,province,road,sourceId,startDate,clave_union,nivel_incidencias
216062,Desconocida,road,Vialidad invernal tramos,ARABA,N-124,1,2024-01-02T22:53:21.000Z,2024-01-02_ARABA_Vialidad invernal tramos,2
216061,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,AP-1 ,1,2024-01-02T22:53:21.000Z,2024-01-02_GIPUZKOA_Vialidad invernal tramos,1
216054,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,A-8,1,2024-01-02T22:53:21.000Z,2024-01-02_GIPUZKOA_Vialidad invernal tramos,1
216055,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,A-8,1,2024-01-02T22:53:21.000Z,2024-01-02_GIPUZKOA_Vialidad invernal tramos,1
216053,Desconocida,road,Vialidad invernal tramos,BIZKAIA,A-8,1,2024-01-02T22:53:21.000Z,2024-01-02_BIZKAIA_Vialidad invernal tramos,0
216052,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,A-15,1,2024-01-02T22:53:21.000Z,2024-01-02_GIPUZKOA_Vialidad invernal tramos,1
216051,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,A-15,1,2024-01-02T22:53:21.000Z,2024-01-02_GIPUZKOA_Vialidad invernal tramos,1
216050,Desconocida,road,Vialidad invernal tramos,ARABA,A-124,1,2024-01-02T22:53:21.000Z,2024-01-02_ARABA_Vialidad invernal tramos,2
216049,Desconocida,road,Vialidad invernal tramos,ARABA,A-1,1,2024-01-02T22:53:21.000Z,2024-01-02_ARABA_Vialidad invernal tramos,2
216047,Desconocida,road,Vialidad invernal tramos,ARABA,A-1,1,2024-01-02T22:53:21.000Z,2024-01-02_ARABA_Vialidad invernal tramos,2
216048,Desconocida,road,Vialidad invernal tramos,ARABA,A-1,1,2024-01-02T22:53:21.000Z,2024-01-02_ARABA_Vialidad invernal tramos,2
216046,Desconocida,road,Vialidad invernal tramos,ARABA,A-1,1,2024-01-02T22:53:21.000Z,2024-01-02_ARABA_Vialidad invernal tramos,2
216060,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,AP-1 ,1,2024-01-02T22:53:21.000Z,2024-01-02_GIPUZKOA_Vialidad invernal tramos,1
216044,Desconocida,road,Puertos de montaña,ARABA,A-3102,1,2024-01-02T22:53:21.000Z,2024-01-02_ARABA_Puertos de montaña,0
216043,Desconocida,road,Puertos de montaña,GIPUZKOA,GI-2130,1,2024-01-02T22:53:21.000Z,2024-01-02_GIPUZKOA_Puertos de montaña,0
216045,Desconocida,road,Puertos de montaña,GIPUZKOA,N-634,1,2024-01-02T22:53:21.000Z,2024-01-02_GIPUZKOA_Puertos de montaña,0
215689,Obras,Eibar,Obras,GIPUZKOA,AP-1,1,2024-01-01T23:21:16.000Z,2024-01-01_GIPUZKOA_Obras,0
216318,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,AP-1 ,1,2024-01-03T23:08:55.000Z,2024-01-03_GIPUZKOA_Vialidad invernal tramos,1
216319,Desconocida,road,Vialidad invernal tramos,ARABA,N-124,1,2024-01-03T23:08:55.000Z,2024-01-03_ARABA_Vialidad invernal tramos,2
216056,Desconocida,road,Vialidad invernal tramos,ARABA,N-622,1,2024-01-02T22:53:21.000Z,2024-01-02_ARABA_Vialidad invernal tramos,2
219672,Desconocida,road,Puertos de montaña,ARABA,A-2521,1,2024-01-08T23:46:00.000Z,2024-01-08_ARABA_Puertos de montaña,0
217753,Otros,road,Puertos de montaña,ARABA,A-2128,1,2024-01-06T23:48:48.000Z,2024-01-06_ARABA_Puertos de montaña,0
216466,Caída de objetos,Morga,Seguridad vial,BIZKAIA,BI-2121,1,2024-01-04T21:53:40.000Z,2024-01-04_BIZKAIA_Seguridad vial,1
216317,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,AP-1 ,1,2024-01-03T23:08:55.000Z,2024-01-03_GIPUZKOA_Vialidad invernal tramos,1
216059,Desconocida,road,Vialidad invernal tramos,ARABA,AP-1,1,2024-01-02T22:53:21.000Z,2024-01-02_ARABA_Vialidad invernal tramos,2
216058,Desconocida,road,Vialidad invernal tramos,ARABA,AP-1,1,2024-01-02T22:53:21.000Z,2024-01-02_ARABA_Vialidad invernal tramos,2
216833,Desconocida,road,Puertos de montaña,ARABA,A-2124,1,2024-01-05T23:15:00.000Z,2024-01-05_ARABA_Puertos de montaña,2
215688,Obras,Tolosa,Obras,GIPUZKOA,N-1,1,2024-01-01T23:25:10.000Z,2024-01-01_GIPUZKOA_Obras,0
219051,Desconocida,road,Vialidad invernal tramos,ARABA,N-124,1,2024-01-07T23:43:38.000Z,2024-01-07_ARABA_Vialidad invernal tramos,2
217751,Desprendimiento,Salvatierra/Agurain,Seguridad vial,ARABA,A-2128,1,2024-01-06T23:30:09.000Z,2024-01-06_ARABA_Seguridad vial,0
216316,Desconocida,road,Vialidad invernal tramos,ARABA,AP-1,1,2024-01-03T23:08:55.000Z,2024-01-03_ARABA_Vialidad invernal tramos,2
216057,Desconocida,road,Vialidad invernal tramos,ARABA,AP-1,1,2024-01-02T22:53:21.000Z,2024-01-02_ARABA_Vialidad invernal tramos,2
216315,Desconocida,road,Vialidad invernal tramos,ARABA,AP-1,1,2024-01-03T23:08:55.000Z,2024-01-03_ARABA_Vialidad invernal tramos,2
215687,Obras,Zalla,Obras,BIZKAIA,BI-636,1,2024-01-01T22:44:54.000Z,2024-01-01_BIZKAIA_Obras,0
217750,Desconocida,road,Vialidad invernal tramos,ARABA,N-124,1,2024-01-06T22:04:19.000Z,2024-01-06_ARABA_Vialidad invernal tramos,2
219671,Obras,Santurtzi,Obras,BIZKAIA,A-8,1,2024-01-08T23:27:18.000Z,2024-01-08_BIZKAIA_Obras,1
216314,Desconocida,road,Vialidad invernal tramos,ARABA,AP-1,1,2024-01-03T23:08:55.000Z,2024-01-03_ARABA_Vialidad invernal tramos,2
215686,Obras,Zalla,Obras,BIZKAIA,BI-636,1,2024-01-01T22:45:58.000Z,2024-01-01_BIZKAIA_Obras,0
217749,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,AP-1 ,1,2024-01-06T22:04:19.000Z,2024-01-06_GIPUZKOA_Vialidad invernal tramos,1
