_id,Tolueno,fecha,id_estacion,nombre,provincia,unidad_medicion,SO2,PM10,"PM2,5",O3 8h,NOX
2024-01-0178,0,2024-01-01,78,AV. GASTEIZ,1,µg/m3,,,,,
2024-01-0155,,2024-01-01,55,LLODIO,1,µg/m3,6,,,,
2024-01-0179,,2024-01-01,79,VALDEREJO,1,µg/m3,3,,,,
2024-01-0175,,2024-01-01,75,3 DE MARZO,1,µg/m3,3,,,,
2024-01-0183,,2024-01-01,83,ELCIEGO,1,µg/m3,,7,,,
2024-01-0176,,2024-01-01,76,AGURAIN,1,µg/m3,,,14,,
2024-01-0177,,2024-01-01,77,LOS HERRAN,1,µg/m3,,,9,,
2024-01-0185,,2024-01-01,85,FARMACIA,1,µg/m3,,,,32,
2024-01-0278,0,2024-01-02,78,AV. GASTEIZ,1,µg/m3,,,,,
2024-01-0255,,2024-01-02,55,LLODIO,1,µg/m3,3,,,,
2024-01-0279,,2024-01-02,79,VALDEREJO,1,µg/m3,3,,,,
2024-01-0275,,2024-01-02,75,3 DE MARZO,1,µg/m3,3,,,,
2024-01-0283,,2024-01-02,83,ELCIEGO,1,µg/m3,,10,,,
2024-01-0276,,2024-01-02,76,AGURAIN,1,µg/m3,,,8,,
2024-01-0277,,2024-01-02,77,LOS HERRAN,1,µg/m3,,,6,,
2024-01-0285,,2024-01-02,85,FARMACIA,1,µg/m3,,,,58,
2024-01-0378,0,2024-01-03,78,AV. GASTEIZ,1,µg/m3,,,,,
2024-01-0355,,2024-01-03,55,LLODIO,1,µg/m3,3,,,,
2024-01-0379,,2024-01-03,79,VALDEREJO,1,µg/m3,2,,,,
2024-01-0375,,2024-01-03,75,3 DE MARZO,1,µg/m3,3,,,,
2024-01-0383,,2024-01-03,83,ELCIEGO,1,µg/m3,,7,,,
2024-01-0376,,2024-01-03,76,AGURAIN,1,µg/m3,,,6,,
2024-01-0377,,2024-01-03,77,LOS HERRAN,1,µg/m3,,,10,,
2024-01-0385,,2024-01-03,85,FARMACIA,1,µg/m3,,,,40,
2024-01-0478,0,2024-01-04,78,AV. GASTEIZ,1,µg/m3,,,,,
2024-01-0455,,2024-01-04,55,LLODIO,1,µg/m3,3,,,,
2024-01-0479,,2024-01-04,79,VALDEREJO,1,µg/m3,2,,,,
2024-01-0475,,2024-01-04,75,3 DE MARZO,1,µg/m3,3,,,,
2024-01-0483,,2024-01-04,83,ELCIEGO,1,µg/m3,,9,,,
2024-01-0476,,2024-01-04,76,AGURAIN,1,µg/m3,,,6,,
2024-01-0477,,2024-01-04,77,LOS HERRAN,1,µg/m3,,,8,,
2024-01-0485,,2024-01-04,85,FARMACIA,1,µg/m3,,,,41,
2024-01-0578,0,2024-01-05,78,AV. GASTEIZ,1,µg/m3,,,,,
2024-01-0555,,2024-01-05,55,LLODIO,1,µg/m3,2,,,,
2024-01-0579,,2024-01-05,79,VALDEREJO,1,µg/m3,2,,,,
2024-01-0575,,2024-01-05,75,3 DE MARZO,1,µg/m3,4,,,,
2024-01-0583,,2024-01-05,83,ELCIEGO,1,µg/m3,,5,,,
2024-01-0576,,2024-01-05,76,AGURAIN,1,µg/m3,,,5,,
2024-01-0577,,2024-01-05,77,LOS HERRAN,1,µg/m3,,,5,,
2024-01-0585,,2024-01-05,85,FARMACIA,1,µg/m3,,,,54,
2024-01-0678,0,2024-01-06,78,AV. GASTEIZ,1,µg/m3,,,,,
2024-01-0655,,2024-01-06,55,LLODIO,1,µg/m3,2,,,,
2024-01-0679,,2024-01-06,79,VALDEREJO,1,µg/m3,3,,,,
2024-01-0675,,2024-01-06,75,3 DE MARZO,1,µg/m3,4,,,,
2024-01-0683,,2024-01-06,83,ELCIEGO,1,µg/m3,,4,,,
2024-01-0676,,2024-01-06,76,AGURAIN,1,µg/m3,,,4,,
2024-01-0677,,2024-01-06,77,LOS HERRAN,1,µg/m3,,,4,,
2024-01-0685,,2024-01-06,85,FARMACIA,1,µg/m3,,,,59,
2024-01-0778,0,2024-01-07,78,AV. GASTEIZ,1,µg/m3,,,,,
2024-01-0755,,2024-01-07,55,LLODIO,1,µg/m3,3,,,,
2024-01-0779,,2024-01-07,79,VALDEREJO,1,µg/m3,2,,,,
2024-01-0775,,2024-01-07,75,3 DE MARZO,1,µg/m3,4,,,,
2024-01-0783,,2024-01-07,83,ELCIEGO,1,µg/m3,,3,,,
2024-01-0776,,2024-01-07,76,AGURAIN,1,µg/m3,,,4,,
2024-01-0777,,2024-01-07,77,LOS HERRAN,1,µg/m3,,,4,,
2024-01-0785,,2024-01-07,85,FARMACIA,1,µg/m3,,,,60,
2024-01-0878,0,2024-01-08,78,AV. GASTEIZ,1,µg/m3,,,,,
2024-01-0855,,2024-01-08,55,LLODIO,1,µg/m3,3,,,,
2024-01-0879,,2024-01-08,79,VALDEREJO,1,µg/m3,2,,,,
2024-01-0875,,2024-01-08,75,3 DE MARZO,1,µg/m3,4,,,,
2024-01-0883,,2024-01-08,83,ELCIEGO,1,µg/m3,,5,,,
2024-01-0876,,2024-01-08,76,AGURAIN,1,µg/m3,,,5,,
2024-01-0877,,2024-01-08,77,LOS HERRAN,1,µg/m3,,,6,,
2024-01-0885,,2024-01-08,85,FARMACIA,1,µg/m3,,,,41,
2024-01-0978,0,2024-01-09,78,AV. GASTEIZ,1,µg/m3,,,,,
2024-01-0955,,2024-01-09,55,LLODIO,1,µg/m3,7,,,,
2024-01-0979,,2024-01-09,79,VALDEREJO,1,µg/m3,3,,,,
2024-01-0975,,2024-01-09,75,3 DE MARZO,1,µg/m3,4,,,,
2024-01-0983,,2024-01-09,83,ELCIEGO,1,µg/m3,,6,,,
2024-01-0976,,2024-01-09,76,AGURAIN,1,µg/m3,,,11,,
2024-01-0977,,2024-01-09,77,LOS HERRAN,1,µg/m3,,,14,,
2024-01-0985,,2024-01-09,85,FARMACIA,1,µg/m3,,,,10,
2024-01-1078,0,2024-01-10,78,AV. GASTEIZ,1,µg/m3,,,,,
2024-01-1055,,2024-01-10,55,LLODIO,1,µg/m3,5,,,,
2024-01-1079,,2024-01-10,79,VALDEREJO,1,µg/m3,3,,,,
2024-01-1075,,2024-01-10,75,3 DE MARZO,1,µg/m3,4,,,,
2024-01-1083,,2024-01-10,83,ELCIEGO,1,µg/m3,,8,,,
2024-01-1076,,2024-01-10,76,AGURAIN,1,µg/m3,,,10,,
2024-01-1077,,2024-01-10,77,LOS HERRAN,1,µg/m3,,,8,,
2024-01-1085,,2024-01-10,85,FARMACIA,1,µg/m3,,,,24,
2024-01-1178,0,2024-01-11,78,AV. GASTEIZ,1,µg/m3,,,,,
2024-01-1155,,2024-01-11,55,LLODIO,1,µg/m3,4,,,,
2024-01-1179,,2024-01-11,79,VALDEREJO,1,µg/m3,3,,,,
2024-01-1175,,2024-01-11,75,3 DE MARZO,1,µg/m3,4,,,,
2024-01-1183,,2024-01-11,83,ELCIEGO,1,µg/m3,,6,,,
2024-01-1176,,2024-01-11,76,AGURAIN,1,µg/m3,,,9,,
2024-01-1177,,2024-01-11,77,LOS HERRAN,1,µg/m3,,,9,,
2024-01-1185,,2024-01-11,85,FARMACIA,1,µg/m3,,,,34,
2024-01-1278,0,2024-01-12,78,AV. GASTEIZ,1,µg/m3,,,,,
2024-01-1255,,2024-01-12,55,LLODIO,1,µg/m3,4,,,,
2024-01-1279,,2024-01-12,79,VALDEREJO,1,µg/m3,3,,,,
2024-01-1275,,2024-01-12,75,3 DE MARZO,1,µg/m3,4,,,,
2024-01-1283,,2024-01-12,83,ELCIEGO,1,µg/m3,,7,,,
2024-01-1276,,2024-01-12,76,AGURAIN,1,µg/m3,,,10,,
2024-01-1277,,2024-01-12,77,LOS HERRAN,1,µg/m3,,,9,,
2024-01-1285,,2024-01-12,85,FARMACIA,1,µg/m3,,,,35,
2024-01-1378,0,2024-01-13,78,AV. GASTEIZ,1,µg/m3,,,,,
2024-01-1355,,2024-01-13,55,LLODIO,1,µg/m3,3,,,,
2024-01-1379,,2024-01-13,79,VALDEREJO,1,µg/m3,3,,,,
2024-01-1375,,2024-01-13,75,3 DE MARZO,1,µg/m3,5,,,,
2024-01-1383,,2024-01-13,83,ELCIEGO,1,µg/m3,,9,,,
2024-01-1376,,2024-01-13,76,AGURAIN,1,µg/m3,,,22,,
2024-01-1377,,2024-01-13,77,LOS HERRAN,1,µg/m3,,,14,,
2024-01-1385,,2024-01-13,85,FARMACIA,1,µg/m3,,,,18,
2024-01-1478,0,2024-01-14,78,AV. GASTEIZ,1,µg/m3,,,,,
2024-01-1455,,2024-01-14,55,LLODIO,1,µg/m3,3,,,,
2024-01-1479,,2024-01-14,79,VALDEREJO,1,µg/m3,3,,,,
2024-01-1475,,2024-01-14,75,3 DE MARZO,1,µg/m3,4,,,,
2024-01-1483,,2024-01-14,83,ELCIEGO,1,µg/m3,,8,,,
2024-01-1476,,2024-01-14,76,AGURAIN,1,µg/m3,,,11,,
2024-01-1477,,2024-01-14,77,LOS HERRAN,1,µg/m3,,,7,,
2024-01-1485,,2024-01-14,85,FARMACIA,1,µg/m3,,,,36,
2024-01-1578,0,2024-01-15,78,AV. GASTEIZ,1,µg/m3,,,,,
2024-01-1555,,2024-01-15,55,LLODIO,1,µg/m3,4,,,,
2024-01-1579,,2024-01-15,79,VALDEREJO,1,µg/m3,2,,,,
2024-01-1575,,2024-01-15,75,3 DE MARZO,1,µg/m3,5,,,,
2024-01-1583,,2024-01-15,83,ELCIEGO,1,µg/m3,,3,,,
2024-01-1576,,2024-01-15,76,AGURAIN,1,µg/m3,,,8,,
2024-01-1577,,2024-01-15,77,LOS HERRAN,1,µg/m3,,,11,,
2024-01-1585,,2024-01-15,85,FARMACIA,1,µg/m3,,,,18,
2024-01-1678,0,2024-01-16,78,AV. GASTEIZ,1,µg/m3,,,,,
2024-01-1655,,2024-01-16,55,LLODIO,1,µg/m3,4,,,,
2024-01-1679,,2024-01-16,79,VALDEREJO,1,µg/m3,3,,,,
2024-01-1675,,2024-01-16,75,3 DE MARZO,1,µg/m3,5,,,,
2024-01-1683,,2024-01-16,83,ELCIEGO,1,µg/m3,,8,,,
2024-01-1676,,2024-01-16,76,AGURAIN,1,µg/m3,,,9,,
2024-01-1677,,2024-01-16,77,LOS HERRAN,1,µg/m3,,,0,,
2024-01-1685,,2024-01-16,85,FARMACIA,1,µg/m3,,,,14,
2024-01-1778,0,2024-01-17,78,AV. GASTEIZ,1,µg/m3,,,,,
2024-01-1755,,2024-01-17,55,LLODIO,1,µg/m3,3,,,,
2024-01-1779,,2024-01-17,79,VALDEREJO,1,µg/m3,3,,,,
2024-01-1775,,2024-01-17,75,3 DE MARZO,1,µg/m3,4,,,,
2024-01-1783,,2024-01-17,83,ELCIEGO,1,µg/m3,,6,,,
2024-01-1776,,2024-01-17,76,AGURAIN,1,µg/m3,,,4,,
2024-01-1777,,2024-01-17,77,LOS HERRAN,1,µg/m3,,,0,,
2024-01-1785,,2024-01-17,85,FARMACIA,1,µg/m3,,,,62,
2024-01-1878,0,2024-01-18,78,AV. GASTEIZ,1,µg/m3,,,,,
