_id,fecha,provincia,Tolueno,SO2,PM10,"PM2,5",O3 8h,NOX
1_2024-01-01,2024-01-01,1,0,4,7,11.5,32,0
20_2024-01-01,2024-01-01,20,1.416,3,17,10.6,68,0
48_2024-01-01,2024-01-01,48,0.625,4.7272727272727275,8,7.666666666666667,48,18
1_2024-01-02,2024-01-02,1,0,3,10,7,58,0
20_2024-01-02,2024-01-02,20,0.39199999999999996,2.3333333333333335,16,4,72,0
48_2024-01-02,2024-01-02,48,0.46375,3.727272727272727,7,3,65.66666666666667,10
1_2024-01-03,2024-01-03,1,0,2.6666666666666665,7,8,40,0
20_2024-01-03,2024-01-03,20,2.4859999999999998,2.6666666666666665,25,9,72,0
48_2024-01-03,2024-01-03,48,2.18125,4.909090909090909,14.333333333333334,6.666666666666667,51.666666666666664,69
1_2024-01-04,2024-01-04,1,0,2.6666666666666665,9,7,41,0
20_2024-01-04,2024-01-04,20,2.2039999999999997,3.3333333333333335,22,7.4,76,0
48_2024-01-04,2024-01-04,48,1.0425,4.545454545454546,8.333333333333334,3.6666666666666665,55.333333333333336,23
1_2024-01-05,2024-01-05,1,0,2.6666666666666665,5,5,54,0
20_2024-01-05,2024-01-05,20,0.656,3.3333333333333335,13,4.2,84,0
48_2024-01-05,2024-01-05,48,0.8187500000000001,4.636363636363637,5.666666666666667,2.3333333333333335,62.333333333333336,21
1_2024-01-06,2024-01-06,1,0,3,4,4,59,0
20_2024-01-06,2024-01-06,20,0.45999999999999996,3.1666666666666665,10,3.4,77,0
48_2024-01-06,2024-01-06,48,0.59,4.545454545454546,5.666666666666667,1.6666666666666667,63,13
1_2024-01-07,2024-01-07,1,0,3,3,4,60,0
20_2024-01-07,2024-01-07,20,0.776,3.1666666666666665,9,4.4,67,0
48_2024-01-07,2024-01-07,48,0.59125,3.727272727272727,6.666666666666667,2.3333333333333335,64.33333333333333,19
1_2024-01-08,2024-01-08,1,0,3,5,5.5,41,0
20_2024-01-08,2024-01-08,20,2.648,3.3333333333333335,13,6.8,64,0
48_2024-01-08,2024-01-08,48,1.4725000000000001,4.2727272727272725,5.666666666666667,4.333333333333333,46.333333333333336,61
1_2024-01-09,2024-01-09,1,0,4.666666666666667,6,12.5,10,0
20_2024-01-09,2024-01-09,20,5.110000000000001,3.5,17,11,53,0
48_2024-01-09,2024-01-09,48,2.4925,4.636363636363637,15,11.666666666666666,34.333333333333336,72
1_2024-01-10,2024-01-10,1,0,4,8,9,24,0
20_2024-01-10,2024-01-10,20,3.728,3.5,17,12,54,0
48_2024-01-10,2024-01-10,48,2.2912500000000002,4.363636363636363,13,11,30,75
1_2024-01-11,2024-01-11,1,0,3.6666666666666665,6,9,34,0
20_2024-01-11,2024-01-11,20,3.136,4,17,12,56,0
48_2024-01-11,2024-01-11,48,1.575,5.7272727272727275,8.333333333333334,8.333333333333334,36.333333333333336,63
1_2024-01-12,2024-01-12,1,0,3.6666666666666665,7,9.5,35,0
20_2024-01-12,2024-01-12,20,4.234,4.166666666666667,22,13.2,56,0
48_2024-01-12,2024-01-12,48,2.6575,5,10.333333333333334,10.333333333333334,33.666666666666664,63
1_2024-01-13,2024-01-13,1,0,3.6666666666666665,9,18,18,0
20_2024-01-13,2024-01-13,20,3.8259999999999996,4.166666666666667,19,11.8,72,0
48_2024-01-13,2024-01-13,48,1.825,4.2727272727272725,6.666666666666667,4.333333333333333,49.333333333333336,21
1_2024-01-14,2024-01-14,1,0,3.3333333333333335,8,9,36,0
20_2024-01-14,2024-01-14,20,3.18,4.166666666666667,18,9.8,58,0
48_2024-01-14,2024-01-14,48,1.3875,4.2727272727272725,10.333333333333334,5.333333333333333,43.666666666666664,38
1_2024-01-15,2024-01-15,1,0,3.6666666666666665,3,9.5,18,0
20_2024-01-15,2024-01-15,20,4.7,4,24,11,65,0
48_2024-01-15,2024-01-15,48,3.60875,4.2727272727272725,8.333333333333334,4.666666666666667,39.333333333333336,99
1_2024-01-16,2024-01-16,1,0,4,8,4.5,14,0
20_2024-01-16,2024-01-16,20,3.7439999999999998,3.6666666666666665,24,8.2,69,0
48_2024-01-16,2024-01-16,48,2.97875,9.818181818181818,8.666666666666666,5,44,45
1_2024-01-17,2024-01-17,1,0,3.3333333333333335,6,2,62,0
20_2024-01-17,2024-01-17,20,0.49000000000000005,2.5,18,4,70,0
48_2024-01-17,2024-01-17,48,1.265,2.909090909090909,4.666666666666667,1.6666666666666667,73,8
1_2024-01-18,2024-01-18,1,0,3.6666666666666665,6,2.5,66,0
20_2024-01-18,2024-01-18,20,0.25,2.5,15,4.4,77,0
48_2024-01-18,2024-01-18,48,0.565,3.3636363636363638,8,2.6666666666666665,73.33333333333333,13
1_2024-01-19,2024-01-19,1,0,4.666666666666667,6,2.5,61,0
20_2024-01-19,2024-01-19,20,0.766,3.3333333333333335,14,7.4,60,0
48_2024-01-19,2024-01-19,48,0.9225,3.5454545454545454,7.333333333333333,4.666666666666667,59,28
1_2024-01-20,2024-01-20,1,0,4,7,9.5,48,0
20_2024-01-20,2024-01-20,20,2.178,3.8333333333333335,18,9.8,65,0
48_2024-01-20,2024-01-20,48,1.4925,4.818181818181818,12,6,53,29
1_2024-01-21,2024-01-21,1,0,3.6666666666666665,8,9.5,42,0
20_2024-01-21,2024-01-21,20,1.08,4.166666666666667,12,7.2,75,0
48_2024-01-21,2024-01-21,48,0.89625,4.090909090909091,5.333333333333333,2.6666666666666665,62.666666666666664,16
1_2024-01-22,2024-01-22,1,0,4,9,6.5,49,0
20_2024-01-22,2024-01-22,20,1.046,4,22,5.6,70,0
48_2024-01-22,2024-01-22,48,0.8250000000000001,4,8,3,59,20
1_2024-01-23,2024-01-23,1,0,4.333333333333333,4,10,20,0
20_2024-01-23,2024-01-23,20,3.9959999999999996,4,34,7.6,67,0
48_2024-01-23,2024-01-23,48,2.1025,4.181818181818182,10,5,42.666666666666664,42
1_2024-01-24,2024-01-24,1,0,4.666666666666667,7,14.5,10,0
20_2024-01-24,2024-01-24,20,6.725999999999999,4.166666666666667,33,11.8,61,0
48_2024-01-24,2024-01-24,48,5.152857142857143,6.416666666666667,14.333333333333334,8,31,104
1_2024-01-25,2024-01-25,1,0,5.666666666666667,7,14.5,12,0
20_2024-01-25,2024-01-25,20,5.05,4.166666666666667,44,13.6,58,0
48_2024-01-25,2024-01-25,48,4.264285714285714,6.166666666666667,29,11.333333333333334,39,74
1_2024-01-26,2024-01-26,1,0,5.333333333333333,12,7.5,9,0
20_2024-01-26,2024-01-26,20,6.098,4,79,15.8,66,0
48_2024-01-26,2024-01-26,48,4.965714285714285,7.666666666666667,28.666666666666668,16.333333333333332,32.333333333333336,87
