_id,municipio,nombre,provincia,sensores[0],sensores[1],sensores[2],sensores[3],sensores[4],sensores[5],sensores[6],sensores[7],sensores[8],sensores[9],sensores[10],sensores[11],sensores[12],sensores[13],sensores[14],sensores[15],sensores[16],sensores[17],sensores[18],sensores[19],snapshot,tipo_estacion
B092,Bermeo,Puerto de Bermeo,Bizkaia,CB00,MO00,VV00,CT04,TA00,CT03,CT02,CT01,CT00,DV00,RA02,HA00,MI00,RN00,CB05,SP00,CB04,CB03,CB02,CB01,20210524,BUOY
B096,Pasaia,Puerto de Pasaia,Gipuzkoa,PA05,TA06,SP06,AWA1,DV06,MO06,CB36,HA06,VV06,,,,,,,,,,,,20221003,BUOY
B090,Santurtzi,Puerto de Bilbao,Bizkaia,MO05,PA05,SP05,TA05,DV05,VV05,HA05,,,,,,,,,,,,,,20221003,BUOY
B097,Hondarribia,Puerto de Hondarribia,Gipuzkoa,CB11,CB10,CT09,CT08,MO01,CT07,CT06,CT05,TA01,VV01,RA07,DV01,CB09,CB08,SP01,CB07,MI01,CB06,HA01,RN01,20210524,BUOY
C007,Donostia / San Sebastián,Santa Clara,Gipuzkoa,R0FY,K0AA,Y094,,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C004,Bakio,Bakio,Bizkaia,IS98,,,,,,,,,,,,,,,,,,,,20221003,GAUGING
C008,Zeanuri,Zeanuri,Bizkaia,UL08,UI08,,,,,,,,,,,,,,,,,,,20221003,GAUGING
C005,Gatika,Gatika,Bizkaia,RA05,UI05,,,,,,,,,,,,,,,,,,,20221003,GAUGING
C001,Vitoria-Gasteiz,Arkaute I,Álava,G4RG,S005,Y0RH,G444,K614,G465,G4AC,Y0BQ,K0AM,Y0AH,S001,S0AC,G4AP,R052,,,,,,,20210525,METEOROLOGICAL
C003,Derio,Derio,Bizkaia,R008,Y0AS,G458,,,,,,,,,,,,,,,,,,20231219,METEOROLOGICAL
C002,Gautegiz Arteaga,Arteaga,Bizkaia,G4RE,R0RY,K0R3,Y0AL,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C006,Markina-Xemein,Markina,Bizkaia,UR06,UI06,,,,,,,,,,,,,,,,,,,20221003,GAUGING
C010,Vitoria-Gasteiz,Abetxuko-CHE,Álava,CHP10,CHN10,UR10,,,,,,,,,,,,,,,,,,20221003,GAUGING
C009,Galdakao,Galdakao,Bizkaia,UR09,R0EL,UI09,G477,,,,,,,,,,,,,,,,,20221003,GAUGING
C011,Mungia,Mungia-Lauaxeta,Bizkaia,UI11,RA11,RM11,,,,,,,,,,,,,,,,,,20221003,GAUGING
C016,Vitoria-Gasteiz,Arkauti,Álava,S008,K0AM,Y0AT,G471,R0EV,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C00B,Valdegovía/Gaubea,Tobillas,Álava,R0DZ,G439,K0AR,ISCM,Y041,,,,,,,,,,,,,,,,20221003,GAUGING
C00A,Campezo/Kanpezu,Kanpezu,Álava,R0FN,G458,K0AQ,Y0AJ,,,,,,,,,,,,,,,,,20240527,METEOROLOGICAL
C012,Vitoria-Gasteiz,Zurbano-Alegría-CHE,Álava,CHN12,UR12,,,,,,,,,,,,,,,,,,,20221003,GAUGING
C00C,Legutio,Goiain,Álava,G403,K0AO,Y012,R0R9,UL0C,IS0C,,,,,,,,,,,,,,,20230324,GAUGING
C017,Donostia / San Sebastián,Miramon,Gipuzkoa,K0RA,G4DB,R0D0,Y011,,,,,,,,,,,,,,,,,20230405,METEOROLOGICAL
C022,Abadiño,Urkiola,Bizkaia,G416,G411,K0AJ,Y064,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C019,Bermeo,Matxitxako,Bizkaia,R0FM,Y0BW,K048,G455,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C018,Hondarribia,Higer,Gipuzkoa,K0AS,Y093,R0FT,,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C024,Agurain/Salvatierra,Iturrieta,Álava,G4AE,R0BV,K038,S042,Y0RB,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C023,Arrasate/Mondragón,Arrasate,Gipuzkoa,Y024,R0CY,K0S8,G4AS,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C020,Condado de Treviño,Trebiño,Burgos,G426,R026,K0AE,Y0R1,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C021,Arraia-Maeztu,Roitegi,Álava,Y001,R0CI,,,,,,,,,,,,,,,,,,,20240612,METEOROLOGICAL
C027,Laudio/Llodio,Llodio,Álava,G4RG,R0AV,Y0AV,R0BD,K610,G453,G4AO,R0CR,,,,,,,,,,,,,20210505,METEOROLOGICAL
C029,Zizurkil,Zizurkil,Gipuzkoa,K041,R0GG,G4AB,Y0AP,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C030,Agurain/Salvatierra,Salvatierra,Álava,G447,R0DY,K013,Y064,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C025,Urkabustaiz,Beluntza,Álava,Y0CM,R0CM,,,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C028,Zegama,Zegama,Gipuzkoa,G4AF,Y0R8,R0RE,,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C032,Orozko,Areta,Bizkaia,UL32,R0GP,I032,G450,Y064,,,,,,,,,,,,,,,,20221003,GAUGING
C026,Berastegi,Berastegi,Gipuzkoa,K026,Y0DB,G4B3,R0GB,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C031,Moreda de Álava/Moreda Araba,Moreda,Álava,YEE6,G4D2,R0SM,K612,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C039,Bilbao,Deusto,Bizkaia,S009,K0AN,Y0BH,NT39,G4AM,R0GB,,,,,,,,,,,,,,,20220217,METEOROLOGICAL
C035,Zuia,Altube,Álava,Y0BF,G4AF,R0AX,S001,K0AD,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C037,Arrigorriaga,Venta Alta,Bizkaia,R0BF,K093,Y030,G4B3,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C038,Sestao,Galindo,Bizkaia,Y0W1,G442,R0ED,,,,,,,,,,,,,,,,,,20231221,METEOROLOGICAL
C03A,Bilbao,Zorrotza,Bizkaia,Y0B4,CS3A,S0AG,R0BB,G4E7,K0AY,,,,,,,,,,,,,,,20221225,METEOROLOGICAL
C033,Igorre,Igorre,Bizkaia,Y005,R0RU,K033,G4RD,,,,,,,,,,,,,,,,,20240527,METEOROLOGICAL
C034,Valdegovía/Gaubea,Espejo,Álava,Y048,R0D0,K0AX,G4AR,,,,,,,,,,,,,,,,,20230915,METEOROLOGICAL
C036,Iurreta,Iurreta,Bizkaia,R0BJ,Y0RG,K0AP,G467,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C044,Zigoitia,Gorbea,Álava,G403,R0BF,ISA3,,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C041,Bernedo,Navarrete,Álava,Y005,G497,R0GF,K602,,,,,,,,,,,,,,,,,20240527,METEOROLOGICAL
C045,Balmaseda,La Garbea,Bizkaia,G4RF,R0GE,Y0BR,,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C040,Vitoria-Gasteiz,Gasteiz,Álava,Y045,K026,R0GC,,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C042,Getxo,Punta Galea,Bizkaia,G437,Y0CV,S0AC,R0HG,K0R6,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
